category,domain_name,file_name,file_urls,files,meaning,word
adj.,uchicago_S_Hassan,akιtrῑhyum.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00136.mp3,,thirty-first,akιtrῑhyum
n.m.,uchicago_S_Hassan,akιtə̄ji.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00137.mp3,,forty-one,akιtə̄ji
adj.,uchicago_S_Hassan,akιtə̄jihiyum.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00138.mp3,,forty-first,akιtə̄jihiyum
n.m.,uchicago_S_Hassan,akιvanzah.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00139.mp3,,fifty-one,akιvanzah
adj.,uchicago_S_Hassan,akιvanzihiyum.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00140.mp3,,fifty-first,akιvanzihiyum
n.m.,uchicago_S_Hassan,akιvoh.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00141.mp3,,twenty-one,akιvoh
adj.,uchicago_S_Hassan,akιvohiyum.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00142.mp3,,twenty-first,akιvohiyum
n.,uchicago_S_Hassan,akʰ akʰ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00143.mp3,,"distributively, one each, one another",akʰ akʰ
,uchicago_S_Hassan,akʰ akis madǝtʰ karān.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00144.mp3,,phrase help one another,akʰ akis madǝtʰ karān
adj.,uchicago_S_Hassan,akʰ akis pʸeṭʰ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00145.mp3,,"one after the other, continuous, end-to-end",akʰ akis pʸeṭʰ
adv.,uchicago_S_Hassan,akʰ akis.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00146.mp3,,"one another, similarly",akʰ akis
n.m.,uchicago_S_Hassan,akʰ pʰʸūr.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00147.mp3,,droplet,akʰ pʰʸūr
n.m.,uchicago_S_Hassan,akʰ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00148.mp3,,one,akʰ
n.,uchicago_S_Hassan,akʰbār nǝvīsī.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00149.mp3,,"journalism, profession of working journalist",akʰbār nǝvīsī
n.,uchicago_S_Hassan,akʰbār.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00150.mp3,,newspaper,akʰbār
n.f.,uchicago_S_Hassan,akʰbārnǝvīs.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00151.mp3,,new writer,akʰbārnǝvīs
n.,uchicago_S_Hassan,akʰlāk.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00152.mp3,,"manners, ethics, virtues, morality",akʰlāk
n.,uchicago_S_Hassan,akʰrājāt.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00153.mp3,,"expenses, charges, costs, disbursement",akʰrājāt
n.f.,uchicago_S_Hassan,al.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00154.mp3,,bitter-guard,al
v.,uchicago_S_Hassan,alāb.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00155.mp3,,"syncopate, synchronize, bring in to line, orchestrate, harmonize, tone",alāb
n.m.,uchicago_S_Hassan,alabdι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00156.mp3,,"signature, autograph, name",alabdι
adj.,uchicago_S_Hassan,alag alag.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00157.mp3,,"various, a variety of, a range of, diverse",alag alag
adv.,uchicago_S_Hassan,alag kun.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00158.mp3,,"aside, to one side, away, apart, out-of-the-way",alag kun
adj.,uchicago_S_Hassan,alag.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00159.mp3,,"distinct, separate, different, individual, clear",alag
n.f.,uchicago_S_Hassan,amb.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00160.mp3,,mango,amb
n.m.,uchicago_S_Hassan,amb kul.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00161.mp3,,mango tree,amb kul
n.,uchicago_S_Hassan,alākι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00162.mp3,,"location, estate, land, domain",alākι
n.f.,uchicago_S_Hassan,alam.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00163.mp3,,flag,alam
n.m.,uchicago_S_Hassan,alārām.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00164.mp3,,"alarm, automatic device to arouse from sleep",alārām
n.m.,uchicago_S_Hassan,alāv.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00165.mp3,,"a fire in a pit in the open, a bonfire",alāv
adj.,uchicago_S_Hassan,alāvι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00166.mp3,,"extra, additional, spare, second, superfluous",alāvι
adv.,uchicago_S_Hassan,albatǝ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00167.mp3,,"however, although, even though",albatǝ
n.m.,uchicago_S_Hassan,alfāz.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00168.mp3,,"words, vocabulary, expressions",alfāz
adj.,uchicago_S_Hassan,algə̄b.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00169.mp3,,"by chance, all of sudden, unknowing, unawares",algə̄b
n.m.,uchicago_S_Hassan,alim.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00170.mp3,,"knowledge, wisdom, education",alim
n.,uchicago_S_Hassan,ališ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00171.mp3,,linseed,ališ
